Name,Price,Charts,Change,Market cap,Trade,Volume (24h),Supply
BitcoinBTC,"€32,403.28",,0.93%,€631.8B,€15.2B,19.5M,Trade
EthereumETH,"€1,697.58",,1.36%,€203.6B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.16,,1.13%,€32.3B,€280.5M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.12,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.4M,35.2B,Trade
DogecoinDOGE,€0.0648,,2.00%,€9.2B,€379.2M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.0B,€232.9M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.5M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€738.3M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.9M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.2M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,346.94",,0.78%,€5.3B,€123.2M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€133.0M,5.3B,Trade
LitecoinLTC,€65.49,,0.08%,€4.8B,€296.0M,73.8M,Trade
Bitcoin CashBCH,€229.09,,1.22%,€4.5B,€155.2M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€228.9M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€477.9K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€149.0M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€227.0M,3.3B,Trade
MoneroXMR,€160.76,,2.08%,€2.9B,€88.8M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€230.9M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.4B,€270.8M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€118.0M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,1.38%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€432.0M,2.0B,Trade
BitcoinBTC,"€32,413.18",,0.93%,€632.1B,€15.2B,19.5M,Trade
EthereumETH,"€1,698.46",,1.36%,€204.0B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.17,,1.10%,€32.3B,€280.9M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.15,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.8M,35.2B,Trade
DogecoinDOGE,€0.0648,,1.95%,€9.2B,€378.9M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.1B,€233.1M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.6M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€739.0M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.7M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.9M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,374.60",,0.88%,€5.3B,€123.5M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€134.4M,5.3B,Trade
LitecoinLTC,€65.50,,0.08%,€4.8B,€296.3M,73.8M,Trade
Bitcoin CashBCH,€229.07,,1.22%,€4.5B,€155.1M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€229.1M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€478.2K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€148.7M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€226.6M,3.3B,Trade
MoneroXMR,€160.78,,2.08%,€2.9B,€88.9M,18.4M,
CosmosATOM,€7.50,,7.10%,€2.8B,€231.3M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.3B,€271.0M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€117.9M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,1.38%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€432.7M,2.0B,Trade
BitcoinBTC,"€32,422.40",,0.93%,€632.9B,€15.2B,19.5M,Trade
EthereumETH,"€1,698.76",,1.07%,€204.2B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.09,,1.10%,€32.3B,€281.1M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.1B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.21,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€256.0M,35.2B,Trade
DogecoinDOGE,€0.0648,,1.95%,€9.2B,€379.0M,141.6B,Trade
TRONTRX,€0.0907,,1.02%,€8.1B,€233.1M,88.8B,Trade
ToncoinTON,€2.16,,6.36%,€7.3B,€61.7M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€737.1M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.5M,9.2B,Trade
PolkadotDOT,€4.16,,1.58%,€5.4B,€206.0M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,394.18",,0.88%,€5.3B,€123.6M,163.8K,Trade
DaiDAI,€0.94,,0.02%,€5.0B,€134.5M,5.3B,Trade
LitecoinLTC,€65.70,,0.08%,€4.8B,€295.7M,73.8M,Trade
Bitcoin CashBCH,€228.91,,1.22%,€4.5B,€155.1M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.70,,1.49%,€3.8B,€228.6M,355.1M,Trade
UNUS SED LEOLEO,€3.74,,0.13%,€3.5B,€477.5K,928.7M,Trade
Stellar LumensXLM,€0.11,,0.62%,€3.2B,€148.2M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.08%,€3.2B,€227.9M,3.3B,Trade
MoneroXMR,€160.85,,1.46%,€3.0B,€88.7M,18.4M,
CosmosATOM,€7.54,,6.06%,€2.8B,€231.3M,372.3M,Trade
OKBOKB,€42.49,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.35,,2.76%,€2.3B,€271.4M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€117.8M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,0.71%,€2.3B,€117.8M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€431.9M,2.0B,Trade
BitcoinBTC,"€32,392.96",,0.93%,€631.8B,€15.2B,19.5M,Trade
EthereumETH,"€1,697.35",,1.36%,€203.9B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.20,,1.13%,€32.3B,€280.9M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.13,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.8M,35.2B,Trade
DogecoinDOGE,€0.0648,,1.95%,€9.2B,€378.9M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.0B,€232.9M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.5M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€738.3M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.9M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.2M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,372.03",,0.88%,€5.3B,€123.5M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€134.2M,5.3B,Trade
LitecoinLTC,€65.48,,0.08%,€4.8B,€296.0M,73.8M,Trade
Bitcoin CashBCH,€229.07,,1.22%,€4.5B,€155.2M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€229.1M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€477.9K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€149.0M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€227.0M,3.3B,Trade
MoneroXMR,€160.77,,2.08%,€2.9B,€88.8M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€230.9M,372.3M,Trade
